SW-CB353B;172.16.1.58
SW-CB221;172.16.1.61
SW-S1-CLN;172.16.1.62
SW-CB331;172.16.1.63
SW-CB332;172.16.1.64
SW-CB33;172.16.1.65
SW-CB352;172.16.1.66
SW-CB551;172.16.1.67
SW-CB311;172.16.1.68
SW-CB541;172.16.1.69
SW-CB531;172.16.1.70
SW-CB411;172.16.1.71
SW-CB532;172.16.1.72
SW-CB431;172.16.1.73
SW-CB353A;172.16.1.74
SW-CB351A;172.16.1.75
SW-CB351B;172.16.1.76
SW-CB351C;172.16.1.77
SW-CB342B;172.16.1.78
SW-CB341B;172.16.1.79
SW-CB342A;172.16.1.80
SWT-CB341B;172.16.1.81
SWT-CB342A;172.16.1.82
SWT-CB342B;172.16.1.83
SW-CB322;172.16.1.84
SW-CB341A;172.16.1.85
SWT-CB321;172.16.1.86
SWT-CB322;172.16.1.87
SWT-CB323;172.16.1.88
SWT-CB351;172.16.1.89
SWT-CB341A;172.16.1.91
Gateway;172.16.1.3
SWT-CB231;172.16.1.92
SWT-CB222;172.16.1.93
SW-CB323A;172.16.1.94
SW-CB323B;172.16.1.95
SW-CB222;172.16.1.96
SW-CB231;172.16.1.97
SW-CB321;172.16.1.98
SW-CB211;172.16.1.99
SWT-CB211;172.16.1.100
SWT-CB353;172.16.1.101
SWT-CB352;172.16.1.102
SWT-CB221;172.16.1.103
SWT-CB521;172.16.1.104
SWT-CB24;172.16.1.105
SWT-CB311;172.16.1.106
SWT-CB511;172.16.1.107
SWT-CB412;172.16.1.108
SWT-CB431;172.16.1.109
SWT-CB532;172.16.1.53
SWT-CB411;172.16.1.54
SWT-CB541;172.16.1.55
SW-OPTIC1;172.16.1.56
SW-OPTIC2;172.16.1.57
SW-serv-perco;192.168.222.100
